RevisionColumn,GenderID,NUTS,periods,Units,ValueColumn
"r_7","0","BG415","2004","perc","12.4"
"r_7","0","BG415","2005","perc","15.9"
"r_7","0","BG415","2006","perc","9.3"
"r_7","0","BG415","2007","perc","(4.7)"
"r_7","0","BG415","2008","perc","8.3"
"r_7","0","BG415","2009","perc","8.6"
"r_7","0","BG415","2010","perc","9.1"
"r_7","0","BG415","2011","perc","14.9"
"r_7","0","BG415","2012","perc","14.2"
"r_7","0","BG415","2013","perc","14.9"
"r_7","0","BG415","2014","perc","14.2"
"r_7","0","BG415","2015","perc","13.1"
"r_7","0","BG415","2016","perc","8.1"
"r_7","0","BG415","2017","perc","(4.3)"
"r_7","0","BG414","2003","perc","12.7"
"r_7","0","BG414","2004","perc","8.7"
"r_7","0","BG414","2005","perc","7.5"
"r_7","0","BG414","2006","perc","8.9"
"r_7","0","BG414","2007","perc","8.5"
"r_7","0","BG414","2008","perc","(5.1)"
"r_7","0","BG414","2009","perc","(5.3)"
"r_7","0","BG414","2010","perc","6.6"
"r_7","0","BG414","2011","perc","8"
"r_7","0","BG414","2012","perc","9.9"
"r_7","0","BG414","2013","perc","13"
"r_7","0","BG414","2014","perc","13.1"
"r_7","0","BG414","2015","perc","14"
"r_7","0","BG414","2016","perc","12.4"
"r_7","0","BG414","2017","perc","7.2"
"r_7","0","BG412","2003","perc","10.4"
"r_7","0","BG412","2004","perc","11.2"
"r_7","0","BG412","2005","perc","10"
"r_7","0","BG412","2006","perc","9"
"r_7","0","BG412","2007","perc","5.4"
"r_7","0","BG412","2008","perc","(2.6)"
"r_7","0","BG412","2009","perc","3.6"
