RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_7","2016I","3.5.2.2.2","num","AT","1977"
"r_7","2016I","3.5.2.1.2","num","AT","1220"
"r_7","2016I","3.5.2.2.2","num","BE","1739"
"r_7","2016I","3.5.2.1.2","num","BE","927"
"r_7","2016I","3.5.2.2.2","num","DE","7863"
"r_7","2016I","3.5.2.1.2","num","DE","3794"
"r_7","2016I","3.5.2.2.2","num","GR","26399"
"r_7","2016I","3.5.2.1.2","num","GR","12087"
"r_7","2016I","3.5.2.2.2","num","DK","603"
"r_7","2016I","3.5.2.1.2","num","DK","278"
"r_7","2016I","3.5.2.2.2","num","EE","143"
"r_7","2016I","3.5.2.1.2","num","EE","56"
"r_7","2016I","3.5.2.2.2","num","IE","1738"
"r_7","2016I","3.5.2.1.2","num","IE","569"
"r_7","2016I","3.5.2.2.2","num","ES","2247"
"r_7","2016I","3.5.2.1.2","num","ES","968"
"r_7","2016I","3.5.2.2.2","num","IT","8962"
"r_7","2016I","3.5.2.1.2","num","IT","3861"
"r_7","2016I","3.5.2.2.2","num","CY","858"
"r_7","2016I","3.5.2.1.2","num","CY","312"
"r_7","2016I","3.5.2.2.2","num","LV","517"
"r_7","2016I","3.5.2.1.2","num","LV","149"
"r_7","2016I","3.5.2.2.2","num","LT","701"
"r_7","2016I","3.5.2.1.2","num","LT","207"
"r_7","2016I","3.5.2.2.2","num","LU","190"
"r_7","2016I","3.5.2.1.2","num","LU","44"
"r_7","2016I","3.5.2.2.2","num","MT","1101"
"r_7","2016I","3.5.2.1.2","num","MT","338"
"r_7","2016I","3.5.2.2.2","num","NL","2805"
"r_7","2016I","3.5.2.1.2","num","NL","1320"
"r_7","2016I","3.5.2.2.2","num","GB","46655"
"r_7","2016I","3.5.2.1.2","num","GB","11615"
"r_7","2016I","3.5.2.2.2","num","PL","2836"
"r_7","2016I","3.5.2.1.2","num","PL","965"
"r_7","2016I","3.5.2.2.2","num","PT","737"
"r_7","2016I","3.5.2.1.2","num","PT","250"
"r_7","2016I","3.5.2.2.2","num","RO","30792"
"r_7","2016I","3.5.2.1.2","num","RO","11032"
"r_7","2016I","3.5.2.2.2","num","SK","1089"
"r_7","2016I","3.5.2.1.2","num","SK","395"
"r_7","2016I","3.5.2.2.2","num","SI","733"
"r_7","2016I","3.5.2.1.2","num","SI","333"
"r_7","2016I","3.5.2.2.2","num","HU","1806"
"r_7","2016I","3.5.2.1.2","num","HU","718"
"r_7","2016I","3.5.2.2.2","num","FI","568"
"r_7","2016I","3.5.2.1.2","num","FI","200"
