RevisionColumn,NUTS,Age10_LFS,GenderID,Units,periods,ValueColumn
"r_2","BG","15 - 64_gr","0","1000cp","2005Q2","3304.2"
"r_2","BG","15 - 64_gr","1","1000cp","2005Q2","1761.4"
"r_2","BG","15 - 64_gr","2","1000cp","2005Q2","1542.7"
"r_2","BG31","0","0","1000cp","2005Q2","361.6"
"r_2","BG31","0","1","1000cp","2005Q2","192.4"
"r_2","BG31","0","2","1000cp","2005Q2","169.2"
"r_2","BG31","15 - 64_gr","0","1000cp","2005Q2","358.9"
"r_2","BG31","15 - 64_gr","1","1000cp","2005Q2","190.2"
"r_2","BG31","15 - 64_gr","2","1000cp","2005Q2","168.7"
"r_2","BG32","0","0","1000cp","2005Q2","393.7"
"r_2","BG32","0","1","1000cp","2005Q2","211.6"
"r_2","BG32","0","2","1000cp","2005Q2","182.1"
"r_2","BG32","15 - 64_gr","0","1000cp","2005Q2","390.3"
"r_2","BG32","15 - 64_gr","1","1000cp","2005Q2","209.4"
"r_2","BG32","15 - 64_gr","2","1000cp","2005Q2","180.9"
"r_2","BG33","0","0","1000cp","2005Q2","444.8"
"r_2","BG33","0","1","1000cp","2005Q2","242.5"
"r_2","BG33","0","2","1000cp","2005Q2","202.3"
"r_2","BG33","15 - 64_gr","0","1000cp","2005Q2","438.9"
"r_2","BG33","15 - 64_gr","1","1000cp","2005Q2","238.3"
"r_2","BG33","15 - 64_gr","2","1000cp","2005Q2","200.7"
"r_2","BG34","0","0","1000cp","2005Q2","463.9"
"r_2","BG34","0","1","1000cp","2005Q2","254.9"
"r_2","BG34","0","2","1000cp","2005Q2","209"
"r_2","BG34","15 - 64_gr","0","1000cp","2005Q2","456.6"
"r_2","BG34","15 - 64_gr","1","1000cp","2005Q2","249.6"
"r_2","BG34","15 - 64_gr","2","1000cp","2005Q2","207"
"r_2","BG41","0","0","1000cp","2005Q2","999.4"
"r_2","BG41","0","1","1000cp","2005Q2","526.4"
"r_2","BG41","0","2","1000cp","2005Q2","473.1"
"r_2","BG41","15 - 64_gr","0","1000cp","2005Q2","989.4"
"r_2","BG41","15 - 64_gr","1","1000cp","2005Q2","518.9"
"r_2","BG41","15 - 64_gr","2","1000cp","2005Q2","470.4"
"r_2","BG42","0","0","1000cp","2005Q2","678.2"
"r_2","BG42","0","1","1000cp","2005Q2","359.6"
"r_2","BG42","0","2","1000cp","2005Q2","318.7"
"r_2","BG42","15 - 64_gr","0","1000cp","2005Q2","670.1"
"r_2","BG42","15 - 64_gr","1","1000cp","2005Q2","355.1"
"r_2","BG42","15 - 64_gr","2","1000cp","2005Q2","315"
"r_2","BG","0","0","1000cp","2005Q3","3411"
"r_2","BG","0","1","1000cp","2005Q3","1824.2"
"r_2","BG","0","2","1000cp","2005Q3","1586.8"
"r_2","BG","15 - 64_gr","0","1000cp","2005Q3","3376.3"
