RevisionColumn,HBS_Meassure,HBS_PD,periods,Residence,ValueColumn
"r_1","3","116","2012","2","0.9"
"r_1","3","116","2013","0","0.7"
"r_1","3","116","2013","1","0.6"
"r_1","3","116","2013","2","0.8"
"r_1","3","116","2014","0","0.6"
"r_1","3","116","2014","1","0.5"
"r_1","3","116","2014","2","0.7"
"r_1","3","117","2008","0","0.7"
"r_1","3","117","2008","1","0.6"
"r_1","3","117","2008","2","1"
"r_1","3","117","2009","0","1"
"r_1","3","117","2009","1","0.8"
"r_1","3","117","2009","2","1.3"
"r_1","3","117","2010","0","0.9"
"r_1","3","117","2010","1","0.8"
"r_1","3","117","2010","2","1.1"
"r_1","3","117","2011","0","0.9"
"r_1","3","117","2011","1","0.8"
"r_1","3","117","2011","2","1.1"
"r_1","3","117","2012","0","0.8"
"r_1","3","117","2012","1","0.8"
"r_1","3","117","2012","2","1.1"
"r_1","3","117","2013","0","0.8"
"r_1","3","117","2013","1","0.7"
"r_1","3","117","2013","2","1.2"
"r_1","3","117","2014","0","0.9"
"r_1","3","117","2014","1","0.8"
"r_1","3","117","2014","2","1.5"
"r_1","3","118","2008","0","3.2"
"r_1","3","118","2008","1","3"
"r_1","3","118","2008","2","3.7"
"r_1","3","118","2009","0","1.8"
"r_1","3","118","2009","1","1.9"
"r_1","3","118","2009","2","1.6"
"r_1","3","118","2010","0","1.9"
"r_1","3","118","2010","1","1.9"
"r_1","3","118","2010","2","1.6"
"r_1","3","118","2011","0","1.8"
"r_1","3","118","2011","1","1.8"
"r_1","3","118","2011","2","1.6"
"r_1","3","118","2012","0","1.9"
"r_1","3","118","2012","1","2.1"
"r_1","3","118","2012","2","1.2"
"r_1","3","118","2013","0","1.6"
"r_1","3","118","2013","1","1.5"
"r_1","3","118","2013","2","1.7"
"r_1","3","118","2014","0","2.2"
"r_1","3","118","2014","1","2.3"
"r_1","3","118","2014","2","1.9"
"r_1","3","119","2008","0","1.2"
"r_1","3","119","2008","1","1.3"
"r_1","3","119","2008","2","1"
"r_1","3","119","2009","0","0.7"
"r_1","3","119","2009","1","0.8"
"r_1","3","119","2009","2","0.5"
"r_1","3","119","2010","0","0.9"
"r_1","3","119","2010","1","1"
"r_1","3","119","2010","2","0.7"
"r_1","3","119","2011","0","1"
"r_1","3","119","2011","1","1.1"
"r_1","3","119","2011","2","0.7"
"r_1","3","119","2012","0","1.4"
"r_1","3","119","2012","1","1.5"
"r_1","3","119","2012","2","1.1"
"r_1","3","119","2013","0","1"
"r_1","3","119","2013","1","1"
"r_1","3","119","2013","2","1"
"r_1","3","119","2014","0","1"
"r_1","3","119","2014","1","1.1"
