RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_2","15 - 29","1000cp","2006Q3","2","310.2"
"r_2","15 - 24","1000cp","2006Q3","0","325.9"
"r_2","15 - 24","1000cp","2006Q3","1","170.9"
"r_2","15 - 24","1000cp","2006Q3","2","155"
"r_2","25 - 34","1000cp","2006Q3","0","795.8"
"r_2","25 - 34","1000cp","2006Q3","1","434.9"
"r_2","25 - 34","1000cp","2006Q3","2","360.9"
"r_2","35 - 44","1000cp","2006Q3","0","987"
"r_2","35 - 44","1000cp","2006Q3","1","508.8"
"r_2","35 - 44","1000cp","2006Q3","2","478.2"
"r_2","45 - 54","1000cp","2006Q3","0","921.9"
"r_2","45 - 54","1000cp","2006Q3","1","453.3"
"r_2","45 - 54","1000cp","2006Q3","2","468.7"
"r_2","55 - 64","1000cp","2006Q3","0","437.6"
"r_2","55 - 64","1000cp","2006Q3","1","251.7"
"r_2","55 - 64","1000cp","2006Q3","2","185.9"
"r_2","65+","1000cp","2006Q3","0","42.9"
"r_2","65+","1000cp","2006Q3","1","29"
"r_2","65+","1000cp","2006Q3","2","13.9"
"r_2","0","1000cp","2006Q4","0","3448"
"r_2","0","1000cp","2006Q4","1","1834"
"r_2","0","1000cp","2006Q4","2","1614"
"r_2","15 - 64","1000cp","2006Q4","0","3406.2"
"r_2","15 - 64","1000cp","2006Q4","1","1805"
"r_2","15 - 64","1000cp","2006Q4","2","1601.1"
"r_2","20 - 64","1000cp","2006Q4","0","3361.7"
"r_2","20 - 64","1000cp","2006Q4","1","1783.7"
"r_2","20 - 64","1000cp","2006Q4","2","1578"
"r_2","15 - 29","1000cp","2006Q4","0","659.5"
"r_2","15 - 29","1000cp","2006Q4","1","366"
"r_2","15 - 29","1000cp","2006Q4","2","293.5"
"r_2","15 - 24","1000cp","2006Q4","0","296.2"
"r_2","15 - 24","1000cp","2006Q4","1","162.2"
"r_2","15 - 24","1000cp","2006Q4","2","134"
"r_2","25 - 34","1000cp","2006Q4","0","811.9"
"r_2","25 - 34","1000cp","2006Q4","1","446.5"
"r_2","25 - 34","1000cp","2006Q4","2","365.4"
"r_2","35 - 44","1000cp","2006Q4","0","979"
"r_2","35 - 44","1000cp","2006Q4","1","502.6"
"r_2","35 - 44","1000cp","2006Q4","2","476.5"
"r_2","45 - 54","1000cp","2006Q4","0","893.5"
"r_2","45 - 54","1000cp","2006Q4","1","450"
"r_2","45 - 54","1000cp","2006Q4","2","443.5"
"r_2","55 - 64","1000cp","2006Q4","0","425.6"
"r_2","55 - 64","1000cp","2006Q4","1","243.8"
"r_2","55 - 64","1000cp","2006Q4","2","181.9"
"r_2","65+","1000cp","2006Q4","0","41.8"
"r_2","65+","1000cp","2006Q4","1","28.9"
"r_2","65+","1000cp","2006Q4","2","12.9"
"r_2","0","1000cp","2007Q1","0","3408.1"
"r_2","0","1000cp","2007Q1","1","1805.9"
"r_2","0","1000cp","2007Q1","2","1602.2"
"r_2","15 - 64","1000cp","2007Q1","0","3370.5"
"r_2","15 - 64","1000cp","2007Q1","1","1779.3"
