RevisionColumn,periods,NUTS,Units,Ages_COD,GenderID,COD_ICD10ch,ValueColumn
"r_1","2015","BG","num","2","0","7","-"
"r_1","2015","BG","num","2","1","7","-"
"r_1","2015","BG","num","2","2","7","-"
"r_1","2015","BG","num","3","0","7","-"
"r_1","2015","BG","num","3","1","7","-"
"r_1","2015","BG","num","3","2","7","-"
"r_1","2015","BG","num","4","0","7","-"
"r_1","2015","BG","num","4","1","7","-"
"r_1","2015","BG","num","4","2","7","-"
"r_1","2015","BG","num","5","0","7","-"
"r_1","2015","BG","num","5","1","7","-"
"r_1","2015","BG","num","5","2","7","-"
"r_1","2015","BG","num","6","0","7","-"
"r_1","2015","BG","num","6","1","7","-"
"r_1","2015","BG","num","6","2","7","-"
"r_1","2015","BG","num","7","0","7","-"
"r_1","2015","BG","num","7","1","7","-"
"r_1","2015","BG","num","7","2","7","-"
"r_1","2015","BG","num","8","0","7","-"
"r_1","2015","BG","num","8","1","7","-"
"r_1","2015","BG","num","8","2","7","-"
"r_1","2015","BG","num","9","0","7","-"
"r_1","2015","BG","num","9","1","7","-"
"r_1","2015","BG","num","9","2","7","-"
"r_1","2015","BG","num","10","0","7","-"
"r_1","2015","BG","num","10","1","7","-"
"r_1","2015","BG","num","10","2","7","-"
"r_1","2015","BG","num","11","0","7","-"
"r_1","2015","BG","num","11","1","7","-"
"r_1","2015","BG","num","11","2","7","-"
"r_1","2015","BG","num","12","0","7","-"
"r_1","2015","BG","num","12","1","7","-"
"r_1","2015","BG","num","12","2","7","-"
"r_1","2015","BG","num","13","0","7","-"
"r_1","2015","BG","num","13","1","7","-"
"r_1","2015","BG","num","13","2","7","-"
"r_1","2015","BG","num","14","0","7","-"
"r_1","2015","BG","num","14","1","7","-"
"r_1","2015","BG","num","14","2","7","-"
"r_1","2015","BG","num","15","0","7","-"
"r_1","2015","BG","num","15","1","7","-"
"r_1","2015","BG","num","15","2","7","-"
"r_1","2015","BG","num","16","0","7","-"
"r_1","2015","BG","num","16","1","7","-"
"r_1","2015","BG","num","16","2","7","-"
"r_1","2015","BG","num","17","0","7","-"
"r_1","2015","BG","num","17","1","7","-"
"r_1","2015","BG","num","17","2","7","-"
"r_1","2015","BG","num","18","0","7","-"
"r_1","2015","BG","num","18","1","7","-"
"r_1","2015","BG","num","18","2","7","-"
"r_1","2015","BG","num","19","0","7","-"
"r_1","2015","BG","num","19","1","7","-"
"r_1","2015","BG","num","19","2","7","-"
"r_1","2015","BG","num","20","0","7","-"
"r_1","2015","BG","num","20","1","7","-"
"r_1","2015","BG","num","20","2","7","-"
"r_1","2015","BG","num","21","0","7","-"
"r_1","2015","BG","num","21","1","7","-"
"r_1","2015","BG","num","21","2","7","-"
"r_1","2015","BG","num","22","0","7","-"
"r_1","2015","BG","num","22","1","7","-"
"r_1","2015","BG","num","22","2","7","-"
"r_1","2015","BG","num","0","0","8","2"
"r_1","2015","BG","num","0","1","8","1"
"r_1","2015","BG","num","0","2","8","1"
"r_1","2015","BG","num","1","0","8","-"
"r_1","2015","BG","num","1","1","8","-"
"r_1","2015","BG","num","1","2","8","-"
"r_1","2015","BG","num","2","0","8","-"
"r_1","2015","BG","num","2","1","8","-"
"r_1","2015","BG","num","2","2","8","-"
"r_1","2015","BG","num","3","0","8","-"
"r_1","2015","BG","num","3","1","8","-"
"r_1","2015","BG","num","3","2","8","-"
"r_1","2015","BG","num","4","0","8","-"
"r_1","2015","BG","num","4","1","8","-"
"r_1","2015","BG","num","4","2","8","-"
"r_1","2015","BG","num","5","0","8","-"
"r_1","2015","BG","num","5","1","8","-"
"r_1","2015","BG","num","5","2","8","-"
"r_1","2015","BG","num","6","0","8","-"
"r_1","2015","BG","num","6","1","8","-"
"r_1","2015","BG","num","6","2","8","-"
"r_1","2015","BG","num","7","0","8","-"
"r_1","2015","BG","num","7","1","8","-"
"r_1","2015","BG","num","7","2","8","-"
"r_1","2015","BG","num","8","0","8","-"
"r_1","2015","BG","num","8","1","8","-"
"r_1","2015","BG","num","8","2","8","-"
"r_1","2015","BG","num","9","0","8","-"
"r_1","2015","BG","num","9","1","8","-"
"r_1","2015","BG","num","9","2","8","-"
"r_1","2015","BG","num","10","0","8","-"
"r_1","2015","BG","num","10","1","8","-"
"r_1","2015","BG","num","10","2","8","-"
"r_1","2015","BG","num","11","0","8","-"
"r_1","2015","BG","num","11","1","8","-"
"r_1","2015","BG","num","11","2","8","-"
"r_1","2015","BG","num","12","0","8","-"
"r_1","2015","BG","num","12","1","8","-"
"r_1","2015","BG","num","12","2","8","-"
"r_1","2015","BG","num","13","0","8","-"
"r_1","2015","BG","num","13","1","8","-"
"r_1","2015","BG","num","13","2","8","-"
"r_1","2015","BG","num","14","0","8","1"
"r_1","2015","BG","num","14","1","8","-"
"r_1","2015","BG","num","14","2","8","1"
"r_1","2015","BG","num","15","0","8","-"
"r_1","2015","BG","num","15","1","8","-"
"r_1","2015","BG","num","15","2","8","-"
"r_1","2015","BG","num","16","0","8","1"
"r_1","2015","BG","num","16","1","8","1"
"r_1","2015","BG","num","16","2","8","-"
"r_1","2015","BG","num","17","0","8","-"
"r_1","2015","BG","num","17","1","8","-"
"r_1","2015","BG","num","17","2","8","-"
"r_1","2015","BG","num","18","0","8","-"
"r_1","2015","BG","num","18","1","8","-"
"r_1","2015","BG","num","18","2","8","-"
"r_1","2015","BG","num","19","0","8","-"
"r_1","2015","BG","num","19","1","8","-"
"r_1","2015","BG","num","19","2","8","-"
"r_1","2015","BG","num","20","0","8","-"
"r_1","2015","BG","num","20","1","8","-"
"r_1","2015","BG","num","20","2","8","-"
"r_1","2015","BG","num","21","0","8","-"
"r_1","2015","BG","num","21","1","8","-"
"r_1","2015","BG","num","21","2","8","-"
