RevisionColumn,periods,NUTS,Indicators,Units,ValueColumn
"r_5","2015","BG332","3.1.1.6.1","1000EUR","202893.7"
"r_5","2015","BG334","3.1.1.6.1","1000EUR","204743.6"
"r_5","2015","BG333","3.1.1.6.1","1000EUR","103319.7"
"r_5","2015","BG34","3.1.1.6.1","1000EUR","2897055.6"
"r_5","2015","BG341","3.1.1.6.1","1000EUR","1704391.8"
"r_5","2015","BG342","3.1.1.6.1","1000EUR","90251.5"
"r_5","2015","BG344","3.1.1.6.1","1000EUR","1023382.2"
"r_5","2015","BG343","3.1.1.6.1","1000EUR","79030.1"
"r_5","2015","BG41","3.1.1.6.1","1000EUR","14053146.8"
"r_5","2015","BG413","3.1.1.6.1","1000EUR","446364.4"
"r_5","2015","BG415","3.1.1.6.1","1000EUR","42027.5"
"r_5","2015","BG414","3.1.1.6.1","1000EUR","178901.7"
"r_5","2015","BG412","3.1.1.6.1","1000EUR","1274063.4"
"r_5","2015","BG411","3.1.1.6.1","1000EUR","12111789.8"
"r_5","2015","BG42","3.1.1.6.1","1000EUR","2443603.8"
"r_5","2015","BG425","3.1.1.6.1","1000EUR","176317"
"r_5","2015","BG423","3.1.1.6.1","1000EUR","486356.6"
"r_5","2015","BG421","3.1.1.6.1","1000EUR","1592531.3"
"r_5","2015","BG424","3.1.1.6.1","1000EUR","83063.9"
"r_5","2015","BG422","3.1.1.6.1","1000EUR","105335"
"r_6","2017","BG","3.1.1.6.1","1000EUR","24475195.8"
"r_6","2017","BG31","3.1.1.6.1","1000EUR","560673.2"
"r_6","2017","BG311","3.1.1.6.1","1000EUR","73043.4"
"r_6","2017","BG313","3.1.1.6.1","1000EUR","108893.3"
"r_6","2017","BG315","3.1.1.6.1","1000EUR","114072.5"
"r_6","2017","BG312","3.1.1.6.1","1000EUR","38190.7"
"r_6","2017","BG314","3.1.1.6.1","1000EUR","226473.3"
"r_6","2017","BG32","3.1.1.6.1","1000EUR","1023630.2"
"r_6","2017","BG321","3.1.1.6.1","1000EUR","134033.6"
"r_6","2017","BG322","3.1.1.6.1","1000EUR","326308.9"
"r_6","2017","BG324","3.1.1.6.1","1000EUR","152460.1"
"r_6","2017","BG323","3.1.1.6.1","1000EUR","374814.5"
"r_6","2017","BG325","3.1.1.6.1","1000EUR","36013.1"
"r_6","2017","BG33","3.1.1.6.1","1000EUR","2568878.5"
"r_6","2017","BG331","3.1.1.6.1","1000EUR","1946022.5"
"r_6","2017","BG332","3.1.1.6.1","1000EUR","270242.6"
"r_6","2017","BG334","3.1.1.6.1","1000EUR","244815.1"
"r_6","2017","BG333","3.1.1.6.1","1000EUR","107798.3"
"r_6","2017","BG34","3.1.1.6.1","1000EUR","2983233"
"r_6","2017","BG341","3.1.1.6.1","1000EUR","1887318.4"
"r_6","2017","BG342","3.1.1.6.1","1000EUR","139288.5"
"r_6","2017","BG344","3.1.1.6.1","1000EUR","905945.8"
"r_6","2017","BG343","3.1.1.6.1","1000EUR","50680.3"
"r_6","2017","BG41","3.1.1.6.1","1000EUR","14496156.6"
"r_6","2017","BG413","3.1.1.6.1","1000EUR","474396.6"
"r_6","2017","BG415","3.1.1.6.1","1000EUR","42782"
"r_6","2017","BG414","3.1.1.6.1","1000EUR","204135.9"
"r_6","2017","BG412","3.1.1.6.1","1000EUR","1464101.1"
"r_6","2017","BG411","3.1.1.6.1","1000EUR","12310741"
"r_6","2017","BG42","3.1.1.6.1","1000EUR","2842624.3"
"r_6","2017","BG425","3.1.1.6.1","1000EUR","256162.3"
"r_6","2017","BG423","3.1.1.6.1","1000EUR","505855.8"
"r_6","2017","BG421","3.1.1.6.1","1000EUR","1895015.2"
"r_6","2017","BG424","3.1.1.6.1","1000EUR","82919.7"
"r_6","2017","BG422","3.1.1.6.1","1000EUR","102671.3"
"r_7","2018","BG","3.1.1.6.1","1000EUR","24919589.3"
"r_7","2018","BG31","3.1.1.6.1","1000EUR","469721.3"
"r_7","2018","BG311","3.1.1.6.1","1000EUR","80908.5"
"r_7","2018","BG313","3.1.1.6.1","1000EUR","106294.2"
"r_7","2018","BG315","3.1.1.6.1","1000EUR","120981.5"
"r_7","2018","BG312","3.1.1.6.1","1000EUR","35542.2"
"r_7","2018","BG314","3.1.1.6.1","1000EUR","125994.9"
"r_7","2018","BG32","3.1.1.6.1","1000EUR","1111657.2"
"r_7","2018","BG321","3.1.1.6.1","1000EUR","140661.9"
"r_7","2018","BG322","3.1.1.6.1","1000EUR","338201.2"
"r_7","2018","BG324","3.1.1.6.1","1000EUR","175489.6"
"r_7","2018","BG323","3.1.1.6.1","1000EUR","429189.7"
"r_7","2018","BG325","3.1.1.6.1","1000EUR","28114.8"
"r_7","2018","BG33","3.1.1.6.1","1000EUR","2579480.7"
"r_7","2018","BG331","3.1.1.6.1","1000EUR","1869907.2"
"r_7","2018","BG332","3.1.1.6.1","1000EUR","311762.5"
"r_7","2018","BG334","3.1.1.6.1","1000EUR","280506"
"r_7","2018","BG333","3.1.1.6.1","1000EUR","117305"
"r_7","2018","BG34","3.1.1.6.1","1000EUR","3203109.3"
